UserID,ProductID,InteractionCount,AvgRatingGivenToProduct,AvgHelpfulRatio,RecencyDays
#oc-R119LM8D59ZW8Y,B005DVVB9K,1,1.0,0.45454545454545453,357
#oc-R13X3YIJ6GLT0C,B005DVVB9K,1,4.0,0.5714285714285714,365
#oc-R2HLGNHVIDQ0G1,B005DVVB9K,1,4.0,0.5714285714285714,364
#oc-R3LI5WJM4WD02C,B005DVVB9K,1,2.0,0.375,358
A10012K7DF3SBQ,B000SATIG4,1,3.0,0.5,151
A1003ACBU13X6E,B0025UNW4E,1,5.0,1.0,516
A102XKYZE9Q9L4,B000X2CWTM,1,5.0,0.8333333333333334,1160
A10317LUD1C1VJ,B000J2DQ46,1,4.0,0.8888888888888888,1138
A103EZCS9H8WW1,B002BKTWL0,1,5.0,1.0,911
A103FPM7ABVMAW,B000FFHT68,1,5.0,1.0,321
A103U3KR4L2ZXT,B0045Z6K50,1,5.0,1.0,488
A1048HOW441Z1L,B001E5E20O,1,5.0,1.0,188
A104FEDJNPUIPS,B0019QG5CG,1,5.0,1.0,302
A104M4DKQ96IT0,B0015R9BQG,1,1.0,0.8,969
A1052V04GOA7RV,B008ZRKZSM,1,5.0,1.0,334
A105DN5CYUR89W,B000G0EP78,1,2.0,0.15384615384615385,1611
A106MCEFKHCTX9,B001CWV4PA,1,5.0,1.0,1438
A106MNO7PYG1WL,B001E5E2PO,1,5.0,1.0,253
A106R36BNKKMCO,B002U5A85U,1,5.0,0.5,700
A106ZCP7RSXMRU,B000E5ILGQ,1,4.0,1.0,1733
A106ZCP7RSXMRU,B000F0FVJU,1,5.0,1.0,1136
A107O68VE2HS1,B004565GV8,1,3.0,0.5,581
A107PAXK5VATWB,B001397X3O,1,1.0,1.0,486
A1080SE9X3ECK0,B003EML8PM,1,5.0,1.0,1607
A108GQ9A91JIP4,B005K4Q1VI,1,1.0,0.7142857142857143,265
A109H81FSS3FTO,B0001FQVCA,1,5.0,1.0,378
A10AGFN93JCNHQ,B0026MIT4O,1,5.0,1.0,1135
A10AIIFIYAGPPZ,B003H26J5I,1,5.0,1.0,609
A10ANM54XQLSG3,B002QWP89S,1,3.0,1.0,564
A10AP0NVDI3X4T,B000G1X45G,1,5.0,1.0,171
A10B0RPG0JI7AF,B0013NUGDE,1,5.0,1.0,98
A10B4V3ZSLLK9V,B005HGOIQ4,1,5.0,1.0,351
A10B7W4I5PM0SR,B001CGTN1I,1,5.0,0.75,926
A10CF04CJZC05F,B00068PCTU,1,5.0,1.0,1191
